"model","country","block","publication_date","nowcast_value","nb_factors","lambda","gamma","cv_mse","df","n_selected","n_selected_groups","date_new","last_obs_y","target_name","selected_columns","status","error"
"factor_midas","Germany","Revenues","2013-01-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total revenues accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
"factor_midas","Germany","Revenues","2013-01-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total revenues accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
"factor_midas","Germany","Revenues","2013-01-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total revenues accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
"factor_midas","Germany","Revenues","2013-01-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total revenues accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
"factor_midas","Germany","Revenues","2013-01-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total revenues accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
"factor_midas","Germany","Revenues","2013-01-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total revenues accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
"factor_midas","Germany","Revenues","2013-02-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total revenues accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
"factor_midas","Germany","Revenues","2013-02-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total revenues accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
"factor_midas","Germany","Revenues","2013-02-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total revenues accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
"factor_midas","Germany","Revenues","2013-02-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total revenues accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
"factor_midas","Germany","Revenues","2013-02-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total revenues accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
"factor_midas","Germany","Revenues","2013-03-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total revenues accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
"factor_midas","Germany","Revenues","2013-03-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total revenues accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
"factor_midas","Germany","Revenues","2013-03-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total revenues accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
"factor_midas","Germany","Revenues","2013-03-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total revenues accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
"factor_midas","Germany","Revenues","2013-03-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total revenues accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
"factor_midas","Germany","Revenues","2013-04-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total revenues accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
"factor_midas","Germany","Revenues","2013-04-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total revenues accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
"factor_midas","Germany","Revenues","2013-04-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total revenues accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
"factor_midas","Germany","Revenues","2013-04-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total revenues accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
"factor_midas","Germany","Revenues","2013-04-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total revenues accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
"factor_midas","Germany","Revenues","2013-05-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total revenues accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
"factor_midas","Germany","Revenues","2013-05-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total revenues accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
"factor_midas","Germany","Revenues","2013-05-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total revenues accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
"factor_midas","Germany","Revenues","2013-05-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total revenues accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
"factor_midas","Germany","Revenues","2013-05-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total revenues accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
"factor_midas","Germany","Revenues","2013-05-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total revenues accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
"factor_midas","Germany","Revenues","2013-06-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total revenues accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
